Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1600     0.00     0.00  std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >::_S_do_relocate(AStarSearchAlgorithm::State*, AStarSearchAlgorithm::State*, AStarSearchAlgorithm::State*, std::allocator<AStarSearchAlgorithm::State>&, std::integral_constant<bool, true>)
  0.00      0.00     0.00     1600     0.00     0.00  std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >::_S_use_relocate()
  0.00      0.00     0.00     1600     0.00     0.00  std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      0.00     0.00     1600     0.00     0.00  AStarSearchAlgorithm::State* std::__relocate_a<AStarSearchAlgorithm::State*, AStarSearchAlgorithm::State*, std::allocator<AStarSearchAlgorithm::State> >(AStarSearchAlgorithm::State*, AStarSearchAlgorithm::State*, AStarSearchAlgorithm::State*, std::allocator<AStarSearchAlgorithm::State>&)
  0.00      0.00     0.00     1600     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<AStarSearchAlgorithm::State, void>::value, AStarSearchAlgorithm::State*>::type std::__relocate_a_1<AStarSearchAlgorithm::State, AStarSearchAlgorithm::State>(AStarSearchAlgorithm::State*, AStarSearchAlgorithm::State*, AStarSearchAlgorithm::State*, std::allocator<AStarSearchAlgorithm::State>&)
  0.00      0.00     0.00     1327     0.00     0.00  std::_Vector_base<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >::_M_deallocate(AStarSearchAlgorithm::State*, unsigned long)
  0.00      0.00     0.00     1219     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.00     0.00     1190     0.00     0.00  std::vector<std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >, std::allocator<std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> > > >::size() const
  0.00      0.00     0.00     1166     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.00     0.00     1166     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00     1166     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00     1166     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
